ServiceStationCode,ServiceStationName
0,metro fuel marrickville
1,speedway smithfield
2,speedway fairfield
3,speedway westmead
4,speedway horsley drive
5,bp north rocks
6,bp clovelly
7,metro lansdowne
8,metro fuel ermington
9,metro fuel greystanes
10,metro fuel old toongabbie
11,bp chipping norton
12,budget oatley
13,enhance homebush
14,speedway kent road
15,budget north rocks
16,budget kogarah
17,speedway liverpool
18,caltex villawood
19,budget annangrove
20,budget carlton
21,caltex woolworths prestons
22,caltex woolworths kogarah
23,bp willoughby
24,independent lalor park
25,metro georges hall
26,caltex woolworths seven hills north
27,caltex woolworths chester hill
28,metro auburn
29,caltex starmart newtown
30,caltex star mart coogee south
31,caltex kemps creek
32,caltex coogee
33,caltex woolworths rosebery
34,caltex star mart tempe
35,caltex greenacre
36,7-eleven sans souci
37,7-eleven south hurstville
38,7-eleven toongabbie
39,caltex ermington
40,caltex old guildford
41,caltex star mart bonnyrigg
42,7-eleven guildford
43,speedway kings langley
44,westside petroleum lidcombe
45,metro petroleum padstow
46,caltex woolworths west ryde
47,budget brighton
48,caltex starmart lakemba
49,metro petroleum belmore
50,metro fuel canterbury
51,7-eleven carlton
52,7-eleven seven hills
53,7-eleven baulkham hills
54,7-eleven kogarah
55,7-eleven guildford west
56,caltex woolworths chipping norton
57,7-eleven mount pritchard
58,speedway rockdale
59,metro fuel fairfield
60,caltex woolworths bonnyrigg
61,caltex woolworths seven hills
62,bp concord
63,independent liverpool
64,caltex woolworths blakehurst
65,bp bondi
66,caltex woolworths rockdale
67,united bass hill
68,speedway south granville
69,bp redfern
70,speedway fairfield west
71,speedway auburn
72,bp cabramatta west
73,apex petroleum (west ryde)
74,bp greystanes
75,budget blacktown
76,speedway granville
77,bp blacktown
78,apex petroleum villawood
79,budget granville
80,metro fuel regents park
81,bp sans souci
82,metro st ives chase
83,caltex woolworths surry hills
84,independent roselands
85,7-eleven rockdale
86,7-eleven prairewood
87,7-eleven blacktown east
88,7-eleven arncliffe
89,7-eleven kirrawee
90,budget petroleum smithfield
91,bp sydenham
92,7-eleven west ryde
93,bp regent street
94,budget kingsgrove
95,bp bonnyrigg
96,bp silverwater
97,bp crossroads
98,bp rose bay central
99,speedway woodpark
100,bp seven hills
101,metro punchbowl
102,bp west ryde
103,budget dulwich hill
104,caltex woolworths roselands
105,caltex woolworths granville
106,caltex woolworths marrickville
107,caltex seven hills
108,caltex star mart bondi
109,caltex kogarah
110,budget freshwater
111,bp lansvale
112,caltex mount pritchard
113,caltex merrylands
114,powerfuel
115,bp berowra
116,caltex leppington
117,caltex woolworths blacktown
118,7-eleven paddington
119,caltex starmart casula
120,caltex star mart seven hills
121,ampol hoxton park
122,westside petroleum granville
123,caltex woolworths lansvale
124,speedway green valley
125,budget petrol bundeena
126,7-eleven ryde
127,7-eleven belmore
128,bp silverwater south
129,bp mays hill
130,bp kemps creek
131,tanwar petroleum
132,speedway blacktown
133,metro fuel miranda
134,bp padstow
135,fairfield fuel
136,caltex woolworths merrylands
137,caltex woolworths silverwater
138,caltex woolworths newington
139,coles express bass hill
140,speedway villawood
141,7-eleven lansvale south
142,budget chester hill
143,coles express edmondson park
144,liberty bonnyrigg
145,metro yagoona
146,coles express yagoona
147,7-eleven georges hall
