ServiceStationCode,ServiceStationName
0,Metro Fuel Marrickville
1,Speedway Smithfield
2,Speedway Fairfield
3,Speedway Westmead
4,Speedway Horsley Drive
5,BP North Rocks
6,BP CLOVELLY
7,Metro Lansdowne
8,Metro Fuel Ermington
9,Metro Fuel Greystanes
10,Metro Fuel Old Toongabbie
11,BP Chipping Norton
12,Budget Oatley
13,Enhance Homebush
14,Speedway Kent Road
15,Budget North Rocks
16,Budget Kogarah
17,Speedway Liverpool
18,Caltex Villawood
19,Budget Annangrove
20,Budget Carlton
21,Caltex Woolworths Prestons
22,Caltex Woolworths Kogarah
23,BP Willoughby
24,Independent Lalor Park
25,Metro Georges Hall
26,Caltex Woolworths Seven Hills North
27,Caltex Woolworths Chester Hill
28,Metro Auburn
29,Caltex starmart Newtown
30,Caltex Star Mart Coogee South
31,Caltex Kemps Creek
32,Caltex Coogee
33,Caltex Woolworths Rosebery
34,Caltex Star Mart Tempe
35,Caltex Greenacre
36,7-Eleven Sans Souci
37,7-Eleven South Hurstville
38,7-Eleven Toongabbie
39,Caltex Ermington
40,Caltex old Guildford
41,Caltex Star Mart Bonnyrigg
42,7-Eleven Guildford
43,Speedway Kings Langley
44,Westside Petroleum Lidcombe
45,Metro Petroleum Padstow
46,Caltex Woolworths West Ryde
47,Budget Brighton
48,Caltex Starmart Lakemba
49,Metro Petroleum Belmore
50,Metro Fuel Canterbury
51,7-Eleven Carlton
52,7-Eleven Seven Hills
53,7-Eleven Baulkham Hills
54,7-Eleven Kogarah
55,7-Eleven Guildford West
56,Caltex Woolworths Chipping Norton
57,7-Eleven Mount Pritchard
58,Speedway Rockdale
59,Metro Fuel Fairfield
60,Caltex Woolworths Bonnyrigg
61,Caltex Woolworths Seven Hills
62,BP CONCORD
63,Independent Liverpool
64,Caltex Woolworths Blakehurst
65,BP Bondi
66,Caltex Woolworths Rockdale
67,United Bass Hill
68,Speedway South Granville
69,BP Redfern
70,SPEEDWAY FAIRFIELD WEST
71,Speedway Auburn
72,BP Cabramatta West
73,APEX PETROLEUM (WEST RYDE)
74,BP Greystanes
75,Budget Blacktown
76,Speedway Granville
77,BP Blacktown
78,APEX PETROLEUM VILLAWOOD
79,Budget Granville
80,Metro Fuel Regents Park
81,BP Sans Souci
82,Metro St Ives Chase
83,Caltex Woolworths Surry Hills
84,Independent Roselands
85,7-Eleven Rockdale
86,
87,7-Eleven Prairewood
88,7-Eleven Blacktown East
89,7-Eleven Arncliffe
90,7-Eleven Kirrawee
91,Budget Petroleum Smithfield
92,BP Sydenham
93,7-Eleven West Ryde
94,BP Regent Street
95,Budget Kingsgrove
96,BP Bonnyrigg
97,BP Silverwater
98,BP Crossroads
99,BP Rose Bay Central
100,Speedway Woodpark
101,BP Seven Hills
102,Metro Punchbowl
103,BP West Ryde
104,Budget Dulwich Hill
105,Caltex Woolworths Roselands
106,Caltex Woolworths Granville
107,Caltex Woolworths Marrickville
108,Caltex Seven Hills
109,Caltex Star Mart Bondi
110,Caltex Kogarah
111,Budget Freshwater
112,BP Lansvale
113,Caltex Mount Pritchard
114,Caltex Merrylands
115,Powerfuel
116,BP Berowra
117,Caltex Leppington
118,Caltex Woolworths Blacktown
119,7-Eleven Paddington
120,Caltex Starmart Casula
